id,chave,fksensorProx
1,0,3
2,0,4
3,0,5
4,0,6
5,0,7
6,0,8
7,0,9
8,0,10
9,0,11
10,0,12
11,0,13
12,0,14
13,0,15
14,0,16
15,0,3
16,0,4
17,0,5
18,0,6
19,0,7
20,0,8
21,0,9
22,0,10
23,0,11
24,0,12
25,0,13
26,0,14
27,0,15
28,0,16
29,0,3
30,0,4
31,0,5
32,0,6
33,0,7
34,0,8
35,0,9
36,0,10
37,0,11
38,0,12
39,0,13
40,0,14
41,0,15
42,0,16
43,0,3
44,0,4
45,0,5
46,0,6
47,0,7
48,0,8
49,0,9
50,0,10
51,0,11
52,0,12
53,0,13
54,0,14
55,0,15
56,0,16
57,0,3
58,0,4
59,0,5
60,0,6
61,0,7
62,0,8
63,0,9
64,0,10
65,0,11
66,0,12
67,0,13
68,0,14
69,0,15
70,0,16
71,0,3
72,0,4
73,0,5
74,0,6
75,0,7
76,0,8
77,0,9
78,0,10
79,0,11
80,0,12
81,0,13
82,0,14
83,0,15
84,0,16
85,1,3
86,1,4
87,1,5
88,1,6
89,1,7
90,1,8
91,1,9
92,1,10
93,1,11
94,1,12
95,1,13
96,1,14
97,1,15
98,1,16
99,1,3
100,1,4
101,1,5
102,1,6
103,1,7
104,1,8
105,1,9
106,1,10
107,1,11
108,1,12
109,1,13
110,1,14
111,1,15
112,1,16
113,1,3
114,1,4
115,1,5
116,1,6
117,1,7
118,1,8
119,1,9
120,1,10
121,1,11
122,1,12
123,1,13
124,1,14
125,1,15
126,1,16
127,1,3
128,1,4
129,1,5
130,1,6
131,1,7
132,1,8
133,1,9
134,1,10
135,1,11
136,1,12
137,1,13
138,1,14
139,1,15
140,1,16
141,1,3
142,1,4
143,1,5
144,1,6
145,1,7
146,1,8
147,1,9
148,1,10
149,1,11
150,1,12
151,1,13
152,1,14
153,1,15
154,1,16
155,1,3
156,1,4
157,1,5
158,1,6
159,1,7
160,1,8
161,1,9
162,1,10
163,1,11
164,1,12
165,1,13
166,1,14
167,1,15
168,1,16
169,1,3
170,1,4
171,1,5
172,1,6
173,1,7
174,1,8
175,1,9
176,1,10
177,1,11
178,1,12
179,1,13
180,1,14
181,1,15
182,1,16
183,0,3
184,0,4
185,0,5
186,0,6
187,0,7
188,0,8
189,0,9
190,0,10
191,0,11
192,0,12
193,0,13
194,0,14
195,0,15
196,0,16
197,0,3
198,0,4
199,0,5
200,0,6
201,0,7
202,0,8
203,0,9
204,0,10
205,0,11
206,0,12
207,0,13
208,0,14
209,0,15
210,0,16
211,0,3
212,0,4
213,0,5
214,0,6
215,0,7
216,0,8
217,0,9
218,0,10
219,0,11
220,0,12
221,0,13
222,0,14
223,0,15
224,0,16
225,0,3
226,0,4
227,0,5
228,0,6
229,0,7
230,0,8
231,0,9
232,0,10
233,0,11
234,0,12
235,0,13
236,0,14
237,0,15
238,0,16
239,0,3
240,0,4
241,0,5
242,0,6
243,0,7
244,0,8
245,0,9
246,0,10
247,0,11
248,0,12
249,0,13
250,0,14
251,0,15
252,0,16
253,0,3
254,0,4
255,0,5
256,0,6
257,0,7
258,0,8
259,0,9
260,0,10
261,0,11
262,0,12
263,0,13
264,0,14
265,0,15
266,0,16
267,0,3
268,0,4
269,0,5
270,0,6
271,0,7
272,0,8
273,0,9
274,0,10
275,0,11
276,0,12
277,0,13
278,0,14
279,0,15
280,0,16
281,0,3
282,0,4
283,0,5
284,0,6
285,0,7
286,0,8
287,0,9
288,0,10
289,0,11
290,0,12
291,0,13
292,0,14
293,0,15
294,0,16
295,0,3
296,0,4
297,0,5
298,0,6
299,0,7
300,0,8
301,0,9
302,0,10
303,0,11
304,0,12
305,0,13
306,0,14
307,0,15
308,0,16
309,0,3
310,0,4
311,0,5
312,0,6
313,0,7
314,0,8
315,0,9
316,0,10
317,0,11
318,0,12
319,0,13
320,0,14
321,0,15
322,0,16
323,0,3
324,0,4
325,0,5
326,0,6
327,0,7
328,0,8
329,0,9
330,0,10
331,0,11
332,0,12
333,0,13
334,0,14
335,0,15
336,0,16
337,0,3
338,0,4
339,0,5
340,0,6
341,0,7
342,0,8
343,0,9
344,0,10
345,0,11
346,0,12
347,0,13
348,0,14
349,0,15
350,0,16
351,0,3
352,0,4
353,0,5
354,0,6
355,0,7
356,0,8
357,0,9
358,0,10
359,0,11
360,0,12
361,0,13
362,0,14
363,0,15
364,0,16
365,0,3
366,0,4
367,0,5
368,0,6
369,0,7
370,0,8
371,0,9
372,0,10
373,0,11
374,0,12
375,0,13
376,0,14
377,0,15
378,0,16
379,0,3
380,0,4
381,0,5
382,0,6
383,0,7
384,0,8
385,0,9
386,0,10
387,0,11
388,0,12
389,0,13
390,0,14
391,0,15
392,0,16
393,0,3
394,0,4
395,0,5
396,0,6
397,0,7
398,0,8
399,0,9
400,0,10
401,0,11
402,0,12
403,0,13
404,0,14
405,0,15
406,0,16
407,0,3
408,0,4
409,0,5
410,0,6
411,0,7
412,0,8
413,0,9
414,0,10
415,0,11
416,0,12
417,0,13
418,0,14
